year,month,week,dow,day,work_day,work_in,status_one,lunch_in,status_two,lunch_out,                   status_three,work_out,total_time
2019,5,20,1,2019-05-13,True,09:01,green,12:02,green,13:03,green,18:02,08:00
2019,5,20,2,2019-05-14,True,09:00,green,12:04,green,13:08,green,17:59,07:55
2019,5,20,3,2019-05-15,True,08:17,green,12:46,green,13:48,green,17:20,08:01
2019,5,20,4,2019-05-16,True,08:47,green,12:12,green,13:13,green,17:53,08:05
2019,5,20,5,2019-05-17,True,08:27,green,12:19,green,13:21,green,17:29,08:00
2019,5,20,6,2019-05-18,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,5,20,7,2019-05-19,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,5,21,1,2019-05-20,True,08:36,green,12:17,green,13:20,green,17:39,08:00
2019,5,21,2,2019-05-21,True,08:51,green,12:09,green,13:24,green,18:06,08:00
2019,5,21,3,2019-05-22,True,08:56,green,12:01,green,13:12,green,18:07,08:00
2019,5,21,4,2019-05-23,True,08:29,green,11:55,green,13:13,green,17:47,08:00
2019,5,21,5,2019-05-24,True,08:52,green,11:30,green,12:34,green,17:56,08:00
2019,5,21,6,2019-05-25,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,5,21,7,2019-05-26,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,5,22,1,2019-05-27,True,08:49,green,11:56,green,12:56,green,17:49,08:00
2019,5,22,2,2019-05-28,True,08:33,green,11:57,green,13:00,green,17:36,08:00
2019,5,22,3,2019-05-29,True,08:48,green,12:02,green,13:05,green,17:51,08:00
2019,5,22,4,2019-05-30,True,08:42,green,11:59,green,13:03,green,17:46,08:00
2019,5,22,5,2019-05-31,True,08:44,green,11:57,green,13:02,green,17:49,08:00
2019,6,22,6,2019-06-01,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,22,7,2019-06-02,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,23,1,2019-06-03,True,08:43,green,11:50,green,12:50,green,17:43,08:00
2019,6,23,2,2019-06-04,True,09:03,green,12:08,green,13:17,green,18:12,08:00
2019,6,23,3,2019-06-05,True,08:32,green,12:05,green,13:08,green,17:35,08:00
2019,6,23,4,2019-06-06,True,08:36,green,12:03,green,13:04,green,17:37,08:00
2019,6,23,5,2019-06-07,True,08:32,green,11:55,green,13:06,green,17:43,08:00
2019,6,23,6,2019-06-08,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,23,7,2019-06-09,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,24,1,2019-06-10,True,08:24,green,11:46,green,12:57,green,17:35,08:00
2019,6,24,2,2019-06-11,True,08:30,green,11:50,green,13:05,green,17:45,08:00
2019,6,24,3,2019-06-12,True,08:44,green,12:04,green,13:08,green,17:48,08:00
2019,6,24,4,2019-06-13,True,08:49,green,12:22,green,13:23,green,17:50,08:00
2019,6,24,5,2019-06-14,True,08:55,green,12:26,green,13:26,green,17:55,08:00
2019,6,24,6,2019-06-15,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,24,7,2019-06-16,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,25,1,2019-06-17,True,08:31,green,12:24,green,13:27,green,17:34,08:00
2019,6,25,2,2019-06-18,True,09:48,green,12:00,green,13:00,green,18:48,08:00
2019,6,25,3,2019-06-19,True,08:41,green,12:20,green,13:20,green,17:41,08:00
2019,6,25,4,2019-06-20,True,08:19,green,11:43,green,13:01,green,17:37,08:00
2019,6,25,5,2019-06-21,True,08:09,green,12:05,green,13:21,green,17:25,08:00
2019,6,25,6,2019-06-22,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,25,7,2019-06-23,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,26,1,2019-06-24,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,26,2,2019-06-25,True,08:33,green,12:24,green,13:24,green,17:33,08:00
2019,6,26,3,2019-06-26,True,08:28,green,13:25,green,14:26,green,17:29,08:00
2019,6,26,4,2019-06-27,True,08:18,green,12:00,green,13:00,green,17:18,08:00
2019,6,26,5,2019-06-28,True,08:36,green,12:07,green,13:07,green,17:36,08:00
2019,6,26,6,2019-06-29,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,6,26,7,2019-06-30,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,27,1,2019-07-01,True,08:27,green,12:57,green,13:57,green,17:27,08:00
2019,7,27,2,2019-07-02,True,08:14,green,12:05,green,13:05,green,17:45,08:31
2019,7,27,3,2019-07-03,True,12:02,green,17:41,green,18:41,green,19:52,06:50
2019,7,27,4,2019-07-04,True,09:00,green,11:47,green,12:47,green,18:08,08:08
2019,7,27,5,2019-07-05,True,08:35,green,11:57,green,12:59,green,17:54,08:17
