sun,mon,tue,wed,thu,data
13/05,14/05,15/05,16/05,17/05,3
00:00,00:00,00:00,00:00,00:00,12/05
00:00,00:00,00:00,00:00,00:00,18/05
00:00,00:00,00:00,00:00,00:00,00:00
00:00,00:00,00:00,00:00,00:00,00:00
00:00,00:00,00:00,00:00,00:00,
20/05,21/05,22/05,23/05,24/05,4
00:00,00:00,00:00,00:00,00:00,19/05
00:00,00:00,00:00,00:00,00:00,25/05
00:00,00:00,00:00,00:00,00:00,00:00
00:00,00:00,00:00,00:00,00:00,00:00
00:00,00:00,00:00,00:00,00:00,
27/05,28/05,29/05,30/05,31/05,5
00:00,00:00,00:00,00:00,00:00,26/05
00:00,00:00,00:00,00:00,00:00,01/06
00:00,00:00,00:00,00:00,00:00,00:00
00:00,00:00,00:00,00:00,00:00,00:00
00:00,00:00,00:00,00:00,00:00,
03/06,04/06,05/06,06/06,07/06,1
08:43,09:03,08:32,08:36,08:32,02/06
11:50,12:08,12:05,12:03,11:55,08/06
12:50,13:17,13:08,13:04,13:06,40:00
17:43,18:12,17:35,17:37,17:43,00:00
08:00,08:00,08:00,08:00,08:00,
10/06,11/06,12/06,13/06,14/06,2
08:24,08:30,08:44,08:49,08:55,09/06
11:46,11:50,12:04,12:22,12:26,15/06
12:57,13:05,13:08,13:23,13:26,40:00
17:35,17:45,17:48,17:50,17:55,00:00
08:00,08:00,08:00,08:00,08:00,
17/06,18/06,19/06,20/06,21/06,3
08:31,09:48,08:41,08:19,08:09,16/06
12:24,12:00,12:20,11:43,12:05,22/06
13:27,13:00,13:20,13:01,13:21,40:00
17:34,18:48,17:41,17:37,17:25,00:00
08:00,08:00,08:00,08:00,08:00,
24/06,25/06,26/06,27/06,28/06,4
00:00,08:33,08:28,08:18,08:36,23/06
00:00,12:24,13:25,12:00,12:07,29/06
00:00,13:24,14:26,13:00,13:07,32:00
00:00,17:33,17:29,17:18,17:36,00:00
00:00,08:00,08:00,08:00,08:00,
01/07,02/07,03/07,04/07,05/07,1
08:27,08:14,12:02,09:00,08:35,30/06
12:57,12:05,17:41,11:47,11:57,06/07
13:57,13:05,18:41,12:47,12:59,39:46
17:27,17:45,19:52,18:08,17:54,00:00
08:00,08:31,06:50,08:08,08:17,
08/07,09/07,10/07,11/07,12/07,2
08:22,08:21,08:21,08:26,08:41,07/07
12:01,11:56,12:02,11:57,11:54,13/07
13:07,12:56,13:04,13:02,13:12,41:04
17:28,17:21,17:58,18:00,17:59,00:00
08:00,08:00,08:35,08:29,08:00,
15/07,16/07,17/07,18/07,19/07,3
08:30,00:00,00:00,00:00,00:00,14/07
12:15,00:00,00:00,00:00,00:00,20/07
00:00,00:00,00:00,00:00,00:00,00:00
00:00,00:00,00:00,00:00,00:00,00:00
00:00,00:00,00:00,00:00,00:00,
